자전거번호,등록일시,구분
SPB-63915,2023-01-03 11:21,페달
SPB-60164,2023-01-03 11:22,페달
SPB-53065,2023-01-03 11:30,기타 
SPB-51261,2023-01-03 11:32,페달
SPB-64257,2023-01-03 11:36,기타 
SPB-53609,2023-01-03 11:38,체인
SPB-49298,2023-01-03 11:43,기타 
SPB-54235,2023-01-03 11:45,기타 
SPB-36347,2023-01-03 11:54,체인
SPB-36347,2023-01-03 11:54,기타 
SPB-34303,2023-01-03 11:56,페달
SPB-34303,2023-01-03 11:56,기타 
SPB-42431,2023-01-03 12:12,기타 
SPB-61884,2023-01-03 12:13,페달
SPB-48831,2023-01-03 12:15,단말기
SPB-46517,2023-01-03 12:19,기타 
SPB-44115,2023-01-03 12:24,안장
SPB-43969,2023-01-03 12:25,기타 
SPB-53316,2023-01-03 12:27,기타 
SPB-32457,2023-01-03 12:28,타이어 
SPB-51457,2023-01-03 12:28,타이어 
SPB-34383,2023-01-03 12:29,기타 
SPB-61226,2023-01-03 12:32,안장
SPB-52498,2023-01-03 12:47,안장
SPB-39673,2023-01-03 12:49,안장
SPB-60055,2023-01-03 12:50,단말기
