 이용건수,이동거리(M),이용시간(분),고장구분,cluster,pca_x,pca_y
202591,479180159.72,4098315,880,0,182138784.29603952,20237.856170163832
160425,341839014.45,2992066,494,3,44793179.9445122,46663.7978315075
161019,427203153.76,3814101,502,0,130161190.72947031,164006.08326264448
59274,131238320.86,1192028,163,2,-165815218.83147645,-17384.79086679142
47696,66580587.27,816316,121,2,-230473852.4278448,140301.6571105024
138373,229378821.98,2489659,617,1,-67667332.7944771,471905.9435201947
159094,276970536.81,2959598,672,1,-20073356.60371651,549470.1369103891
134268,225066208.0,2418424,470,1,-71980388.70722269,436181.31616848236
129646,210330021.3,2270662,504,1,-86717293.56164478,409958.5557775288
87792,141899907.0,1672396,264,2,-155150024.91396207,375546.3949259541
68273,114354015.02,1304441,195,2,-182698019.59115604,234542.57639947915
117861,190935928.54,2035358,472,1,-106112670.16050316,334483.30107589625
136263,228735351.38,2434472,553,1,-68311237.2766024,421995.41902091214
147363,250380451.15,2687037,598,1,-46664788.22956353,496133.4427392178
58042,91546500.17,901418,174,2,-205508084.52568305,19611.702829456364
106101,164578420.08,1834653,372,1,-132470939.98493032,351058.13881832885
74022,117623221.26,1372091,242,2,-179428364.88422912,275334.4002002478
84578,151346923.75,1759642,233,2,-145702611.56447467,384725.9628638257
133535,227657941.95,2434444,583,1,-69388611.17312562,430790.62812957534
142663,284433999.01,2579493,583,1,-12613288.58136145,107498.95325454514
148943,310804714.54,2731671,571,3,13757785.836206302,42168.88160294691
131149,254018015.42,2294003,439,1,-43030594.37546702,72814.45389014776
99890,177655015.77,1653448,347,1,-119396286.0088579,61852.65526112814
70553,134989986.36,1277089,276,2,-162062975.8379543,36967.874157535705
71058,151569357.37,1356244,219,2,-145483516.5926067,-20704.988839152185
77695,147752216.31,1369194,240,2,-149300418.599533,23904.217399915124
109145,201604053.86,1831669,385,1,-95446590.7866223,42614.16618954521
100190,178725705.03,1619365,344,1,-118325914.16409332,18953.365809951967
88347,152263827.05,1407087,457,2,-144788645.4141736,24818.346808491082
92490,163747776.45,1538262,412,1,-133304004.03709196,61285.437385744204
72802,143460522.36,1349725,196,2,-153592128.59517014,39735.761535177495
64169,134517114.99,1215412,181,2,-162536341.87449706,-20944.14630747652
109552,214943437.61,1931352,429,1,-82106839.2114779,32196.31983612054
124074,248013253.54,2205633,471,1,-49035882.866571724,33850.7061231294
88353,160498835.24,1439169,299,1,-136553653.1372023,-11065.932589046259
120225,239551452.11,2149144,406,1,-57497863.23248696,47112.58426359548
131892,274985021.64,2453785,387,1,-22062984.413307223,59540.10626284703
104904,245935975.47,2225781,211,1,-51112930.581224926,70658.50037524446
90684,225349513.19,1971668,258,1,-71700792.02155355,-13840.224068995136
21196,34887233.97,334870,33,2,-262170105.41030586,-80102.4955068784
107447,212841084.66,1959706,395,1,-84208887.46729027,77837.1460020934
122094,245781198.85,2205687,375,1,-51267861.76737652,52274.59063268236
32527,55786182.1,452327,87,2,-241270896.62750807,-134863.38615121582
29491,55745997.72,558467,72,2,-241310205.43180788,-28503.23991644099
35058,57642804.07,584722,281,2,-239413245.28343773,-17771.73150795978
29900,48732210.87,471674,323,2,-248324468.97223175,-57378.559671488474
62247,101796190.66,986323,873,2,-195258041.5478402,20011.22292374399
66151,112191252.64,1085120,638,2,-184862517.57982972,33090.97082110034
42819,67255526.24,691234,310,2,-229799969.54682636,9571.848864653812
45351,67933630.34,695381,332,2,-229121853.48185244,8184.452107769274
46935,71594167.87,739118,375,2,-225461079.42176926,21738.938740638085
41326,71594867.04,722425,265,2,-225460519.8399709,4906.861290228534
27591,53396379.85,530839,95,2,-243659971.75004146,-36779.79794758557
27329,53114341.81,530828,95,2,-243942000.36445236,-34469.9025843523
74783,142236508.69,1361460,335,2,-154816003.13438547,61616.43774677984
82138,154387642.91,1464091,348,2,-142664433.94215673,64123.24313414798
82350,154834755.3,1456970,304,2,-142217395.42816806,53320.346276349504
84167,160463825.5,1516623,255,1,-136588024.4176631,66546.80088965647
15214,27831809.4,262051,29,2,-269225892.2003414,-94823.36606685407
29129,57643593.69,602688,79,2,-239412309.56201747,34.69182981262485
